query_id	doc_id	relevance
thrombosis_q001	3bd49a1eb6b81bfeee07bf08b41a16e1007921432c10c545bd611c0e1db6ca5e	0
thrombosis_q001	59a970ce3a674b8b843b8c8d5fd15c8028fa9de1af79fd589922ca609994db6e	1
thrombosis_q001	5f286d6b4b9381ccb6882e797a4ccb9ad36920bd775de6986b35d0f1544aa31f	2
thrombosis_q001	600ac93baa3b66d29a42b564f753d6db9cb5c58ded98106a84b27bcfbd26dac2	0
thrombosis_q001	654bc2141902687c9325cd6fbfcdfb0a6b42303ab20ecaed74c80bff00c5d242	1
thrombosis_q001	6c4d0a7473468c87812d67d7119aed406f63089a1229f8d7f3fd74ccab2bf072	0
thrombosis_q001	886d1bbda77e52cf7833be6afc63c23a4cdc0cd24f85dde90b8087323ce40b31	0
thrombosis_q001	8edfa822bc0437756e2875d5871cee5124bd82c890904e121697e8272fd3d420	2
thrombosis_q001	a01794bf7974f8481fc90723194690bbc7ef8d064687827873f01d7e9c081757	1
thrombosis_q001	bf095d4fdd8647fd03e451ffbf154fc40d7877ca577fb49dc1f660980a5387c8	2
thrombosis_q001	c0236184d7043ba7e7863bffd0e79e5835c1c7777e567c452d93387b6a547a17	0
thrombosis_q001	c87b892721821dc95a921a0b4afbe6466e5a25b9bc9241bbd4f12ae4b9eeb2c3	1
thrombosis_q001	f698615e1f3559a8746feac626ca97614b052a74ce872c093febb99a5211c2ed	0
thrombosis_q002	3bd49a1eb6b81bfeee07bf08b41a16e1007921432c10c545bd611c0e1db6ca5e	0
thrombosis_q002	59a970ce3a674b8b843b8c8d5fd15c8028fa9de1af79fd589922ca609994db6e	1
thrombosis_q002	5f286d6b4b9381ccb6882e797a4ccb9ad36920bd775de6986b35d0f1544aa31f	2
thrombosis_q002	600ac93baa3b66d29a42b564f753d6db9cb5c58ded98106a84b27bcfbd26dac2	0
thrombosis_q002	654bc2141902687c9325cd6fbfcdfb0a6b42303ab20ecaed74c80bff00c5d242	0
thrombosis_q002	886d1bbda77e52cf7833be6afc63c23a4cdc0cd24f85dde90b8087323ce40b31	0
thrombosis_q002	8edfa822bc0437756e2875d5871cee5124bd82c890904e121697e8272fd3d420	2
thrombosis_q002	a01794bf7974f8481fc90723194690bbc7ef8d064687827873f01d7e9c081757	1
thrombosis_q002	bf095d4fdd8647fd03e451ffbf154fc40d7877ca577fb49dc1f660980a5387c8	2
thrombosis_q002	c0236184d7043ba7e7863bffd0e79e5835c1c7777e567c452d93387b6a547a17	0
thrombosis_q002	c87b892721821dc95a921a0b4afbe6466e5a25b9bc9241bbd4f12ae4b9eeb2c3	1
thrombosis_q002	f698615e1f3559a8746feac626ca97614b052a74ce872c093febb99a5211c2ed	0
thrombosis_q003	3bd49a1eb6b81bfeee07bf08b41a16e1007921432c10c545bd611c0e1db6ca5e	1
thrombosis_q003	59a970ce3a674b8b843b8c8d5fd15c8028fa9de1af79fd589922ca609994db6e	1
thrombosis_q003	600ac93baa3b66d29a42b564f753d6db9cb5c58ded98106a84b27bcfbd26dac2	2
thrombosis_q003	886d1bbda77e52cf7833be6afc63c23a4cdc0cd24f85dde90b8087323ce40b31	0
thrombosis_q003	a01794bf7974f8481fc90723194690bbc7ef8d064687827873f01d7e9c081757	0
thrombosis_q003	a4d79c2d7c8f6bd4e88fc835ea0f93240290afc1c04af8a77c19b3919ef3c069	0
thrombosis_q003	bf095d4fdd8647fd03e451ffbf154fc40d7877ca577fb49dc1f660980a5387c8	2
thrombosis_q003	c0236184d7043ba7e7863bffd0e79e5835c1c7777e567c452d93387b6a547a17	1
thrombosis_q003	c87b892721821dc95a921a0b4afbe6466e5a25b9bc9241bbd4f12ae4b9eeb2c3	2
thrombosis_q004	060fffece2db23dd24dd15daa4a1fcd41a25a91fdefc1f22a38b88330c2229f6	0
thrombosis_q004	0ee72aa56475f088d05a92e1e534aa0754c33293a688c507de7333ca24062164	2
thrombosis_q004	17947ad83c8c817f4ec92cb4110370ba617268d38b4d846b42f62205dfba0481	1
thrombosis_q004	1ade146caffade0751c48f219f6fab5ecd856e44f7ba229b5be3e8ff935df650	0
thrombosis_q004	2c771af9f3318bc04c4ce36dc52c8f31917f373a5729faba33fef2f9f3e0e5d9	1
thrombosis_q004	55009ec881b42298ad1d384ff8cd04f8ab1474ec0643dac96b0ce456f36d44b3	0
thrombosis_q004	591d086a7874974b8a6e16056345c5d11357d6e32f9066746f1242a9b87afe09	1
thrombosis_q004	5e0d8f3809b67672a05694abf4dc1fe68739bf0b5039806c7189cc81fd88801b	2
thrombosis_q004	8bd34b114fbe377be7578015cab0bbabb1ab3723931c35dda858715902cecf90	0
thrombosis_q004	b6776797e4cfd3db95a154f85b6643b2ca2154c8b8d9f191b75716aff5313614	2
thrombosis_q004	bd24bd8c3277b9a1d658c9783bf72d31b7850cab2886ead54fa1b927061ea8b6	1
thrombosis_q004	bf7fcd8ef132a8097e2a7f20c6a11a6dac7d285930bbb89ea76345f138f8599a	0
thrombosis_q004	c4d29f9f1dbc56022415bd2d5fb1cda7acd5e5709de90056d04d559077cc8420	0
thrombosis_q004	c7028dff210d42077d37991a7f32bbb2041f2e7aa351c51c3e250c9f7958eb6d	2
thrombosis_q004	edd8acf4bb2020318dad56b817d3cea3b425e2d27839dbe6e4b8b237e850d841	1
thrombosis_q004	ffa384164b239c60b1c13ed03600e6b41a6673120f711fb4690e5fa34fc10f8e	2
thrombosis_q005	17947ad83c8c817f4ec92cb4110370ba617268d38b4d846b42f62205dfba0481	1
thrombosis_q005	1c57d139462323547b2238e536ec47cacabd3239af74c20c1845cc076d32d93d	2
thrombosis_q005	2192034e524f922513f85540de5de02aa750e7cd279adcfb485d1c66c3a1565c	0
thrombosis_q005	2c771af9f3318bc04c4ce36dc52c8f31917f373a5729faba33fef2f9f3e0e5d9	1
thrombosis_q005	35dde2068e35a119d22851d5f64dde1f06bdc569011e069e3c076c0891ecdf7e	0
thrombosis_q005	b6b7f1f4ec08316659f58518af26ab0909b7b0f067fa8e706eebd6a0e51b9636	0
thrombosis_q005	bd24bd8c3277b9a1d658c9783bf72d31b7850cab2886ead54fa1b927061ea8b6	2
thrombosis_q005	c55ff00abf62292089ce57179ab139db6a64aa90054da771fc63f8abbe5a681b	1
thrombosis_q005	ffa384164b239c60b1c13ed03600e6b41a6673120f711fb4690e5fa34fc10f8e	2
thrombosis_q006	0ee72aa56475f088d05a92e1e534aa0754c33293a688c507de7333ca24062164	2
thrombosis_q006	1240b245f4f1f8917c00b78a75565921dc0ec94865d5000b82f98d00cb92e46c	0
thrombosis_q006	17947ad83c8c817f4ec92cb4110370ba617268d38b4d846b42f62205dfba0481	1
thrombosis_q006	3ddde229308c579a2e6e9f60e359eeccc5584c8065d2f87d08dd19c4958c4f11	0
thrombosis_q006	403276112ae9c984489a5f567ccff08fa4ac60454b427fd9ec675091ce93948f	0
thrombosis_q006	55009ec881b42298ad1d384ff8cd04f8ab1474ec0643dac96b0ce456f36d44b3	0
thrombosis_q006	5e0d8f3809b67672a05694abf4dc1fe68739bf0b5039806c7189cc81fd88801b	2
thrombosis_q006	64ae0fd5a5a2a52a9d7cd47f4db804aef95b00d1393871baa2bbfd3bf8cb9b42	1
thrombosis_q006	7ecf5c25f29ecb581f1309f2d32f189f61babb5790744a33858d5c8a6cd7d6e4	0
thrombosis_q006	8bd34b114fbe377be7578015cab0bbabb1ab3723931c35dda858715902cecf90	0
thrombosis_q006	91244f77090330dc566eae08da6698bb8fced8a9ac00aa5ae82fc5993ca95524	0
thrombosis_q006	ad8fb93955dfbb1a8a7f5cc353f40c457a558842d4d89f9014bb9ef28219da33	1
thrombosis_q006	b6776797e4cfd3db95a154f85b6643b2ca2154c8b8d9f191b75716aff5313614	2
thrombosis_q006	bd24bd8c3277b9a1d658c9783bf72d31b7850cab2886ead54fa1b927061ea8b6	0
thrombosis_q006	c4d29f9f1dbc56022415bd2d5fb1cda7acd5e5709de90056d04d559077cc8420	1
thrombosis_q006	c7028dff210d42077d37991a7f32bbb2041f2e7aa351c51c3e250c9f7958eb6d	0
thrombosis_q006	ffa384164b239c60b1c13ed03600e6b41a6673120f711fb4690e5fa34fc10f8e	2
thrombosis_q007	17936e0322655fb7ac2061335612d9c46a110db1584e38d575af6a3c6558534c	0
thrombosis_q007	19b88c40a35c0beab27062994bd073ea33c8932639c93cfc88d3545e01b6591e	1
thrombosis_q007	34740c472657c89d1145ef6b81249582ee797cc72e941a58b966c27c9a2d8f8b	0
